network,type,Top,Bas,Int,Can,Herb,Omn,Loop,ChLen,ChSD,ChNum,TL,MxSim,VulSD,GenSD,LinkSD,Path,Clust,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.106280193,0.028985507,0.859903382,0.101449275,2.222222222,0.427792632,1.255272505,4.23866495,0.725415287,0.291369832,0.506270641,0.459330132,1.829795022,0.294640765,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.115942029,0.884057971,0.106280193,0.028985507,0.792270531,0.202898551,NaN,NaN,,3.779420362,0.729552398,0.238503152,0.623116698,0.570759058,1.980898876,0.377273779,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.120772947,0.879227053,0.1352657,0.053140097,0.801932367,0.15942029,NaN,NaN,,3.57943776,0.749697424,0.259527142,0.560577692,0.5217733,1.877956908,0.356576612,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.077294686,0.922705314,0.125603865,0.043478261,0.835748792,0.140096618,NaN,NaN,,4.134329514,0.698266839,0.256369787,0.568918115,0.514160375,1.836788146,0.321361974,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.096618357,0.028985507,0.84057971,0.082125604,NaN,NaN,,3.867055564,0.730573238,0.325156614,0.57265581,0.532237941,1.780927835,0.302610141,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0.038834951,0.082524272,0.878640777,0.111650485,0.029126214,0.849514563,0.160194175,2.263636364,0.699636508,2.041392685,4.405741488,0.710738209,0.264070276,0.506049964,0.514659263,1.863989637,0.325243325,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.072815534,0.927184466,0.131067961,0.014563107,0.839805825,0.150485437,NaN,NaN,,4.174296933,0.740340392,0.253959526,0.587518929,0.519975523,1.879716071,0.314460372,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.115942029,0.009661836,0.874396135,0.231884058,NaN,NaN,,4.007669841,0.750387841,0.222045663,0.558828523,0.491108807,2.01342155,0.323600631,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.06763285,0.93236715,0.082125604,0.019323671,0.859903382,0.072463768,NaN,NaN,,5.46985459,0.723748414,0.302501786,0.561829224,0.546575257,1.906891552,0.297066471,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.06763285,0.93236715,0.111111111,0.043478261,0.855072464,0.120772947,NaN,NaN,,4.655152036,0.714376293,0.258944659,0.551629243,0.510340219,1.781580494,0.349907726,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.102439024,0.897560976,0.097560976,0.053658537,0.790243902,0.102439024,NaN,NaN,,3.640420156,0.724076797,0.328487237,0.560975393,0.531926111,1.834730638,0.313767156,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.072463768,0.927536232,0.086956522,0.033816425,0.835748792,0.096618357,NaN,NaN,,4.459799601,0.73066324,0.294953164,0.578416751,0.561447555,1.839005623,0.322891151,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.111111111,0.048309179,0.850241546,0.106280193,NaN,NaN,,3.771241593,0.719981132,0.287428733,0.529710093,0.476685784,1.846130774,0.293777157,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.096618357,0.903381643,0.101449275,0.038647343,0.84057971,0.096618357,NaN,NaN,,3.696189278,0.749360983,0.291227487,0.562232866,0.486841906,1.764246433,0.307322276,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.096618357,0.903381643,0.144927536,0.043478261,0.821256039,0.246376812,NaN,NaN,,3.492561916,0.760496186,0.232289853,0.600271821,0.548053363,2.030385136,0.397255086,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.086956522,0.913043478,0.140096618,0.024154589,0.855072464,0.111111111,2.777777778,0.427792632,1.255272505,4.182265272,0.686417666,0.219850527,0.523739431,0.508974814,1.859923463,0.344004081,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.048543689,0.951456311,0.087378641,0.009708738,0.893203883,0.082524272,NaN,NaN,,5.215465996,0.703258863,0.266440613,0.507603714,0.463050265,1.889709886,0.260679515,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.06763285,0.93236715,0.115942029,0.038647343,0.84057971,0.169082126,2,0,1.146128036,4.148178089,0.722918895,0.309914417,0.512320859,0.488224705,1.904919479,0.289488201,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.101449275,0.024154589,0.850241546,0.207729469,NaN,NaN,,3.990450721,0.74107041,0.261093321,0.539040848,0.481925742,2.212424446,0.325845234,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.09178744,0.90821256,0.082125604,0.014492754,0.855072464,0.09178744,NaN,NaN,,4.076714546,0.738549279,0.315951896,0.618690737,0.571658796,1.827401863,0.344105889,,,,,,,,,,,,,,,,,,,,
fezouata,niche model,0,0.082125604,0.917874396,0.106280193,0.028985507,0.845410628,0.144927536,NaN,NaN,,3.655380037,0.730645298,0.280643019,0.527754115,0.484401626,1.816319143,0.2804749,,,,,,,,,,,,,,,,,,,,
