#,PHYLUM,CLASS,ORDER,FAMILY,SPECIES,ECOLOGY,SOURCE,FORMATION,REMARKS,SYNONYMS,SIZE,
1,Phytoplankton,,,,,,,,,,,
2,Bacterioplankton,,,,species not included in feeding interactions,,,,,,,
3,Suspended organic matter,,,,,,,,,,,
4,Benthic detritus,,,,,,,,,,,
5,Zooplancton,,,,,,,,,,,
209,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Selenopeltis sp. 2,"epifaunal, predator/scavenger (Fortey, 2014), but maybe small prey ? (livre cincinnati p.161)","Van Roy et al., 2015",Upper part of the Fezouata Formation,,,17-23 mm (undet. Odontopleurida),
210,Arthropoda,Trilobita,Olenida,Eulomidae,Euloma sp.,"particle feeding (Fortey et Owens, 1999)","Van Roy et al., 2015 ; Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,31-38 mm,
212,Arthropoda,Trilobita,Phacopida,Cheiruridae,Foulonia peregrina,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ceraurinella peregrinus ,~20-25mm,
214,Arthropoda,Trilobita,Phacopida,Dalmanitidae,Toletanaspis aff. borni,"predator (fortey et owens, 1999)","Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ormathops borni,11-17 mm,
215,Arthropoda,Triobita,Phacopida,Dalmanitidae,Toletanaspis borni,"predator (fortey et owens, 1999)","Destombes, 1972",Upper part of the Fezouata Formation,,,,
216,Arthropoda,Trilobita,Phacopida,Bavarillidae,Bavarilla aff. zemmourensis,"predator (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,20-40 mm,
218,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe pradesensis,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,~18 mm ?,
219,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe thorali,"predator (fortey et owens, 1999)","Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,14-22.5 mm,
220,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe sp.,"predator (fortey et owens, 1999)","Van Roy et al., 2015, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,50 mm         Calymenidae in general - 8-25 mm,
221,Arthropoda,Trilobita,Phacopida,Calymenidae,Prionocheilus aff. languedocensis,"predator (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,43-60 mm ?,
222,Arthropoda,Trilobita,Phacopida,Calymenidae,Prionocheilus sp.,"predator (fortey et owens, 1999)","Van Roy et al., 2015, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,43-60 mm,
223,Arthropoda,Trilobita,Phacopida,Calymenidae,Neseuretus aff. attenuatus,"predator (fortey et owens, 1999)","Lefebvre et al., 2016, Martin et al., 2016trilobite",Upper part of the Fezouata Formation,,,83 mm (Neseuretus sp.),
224,Arthropoda,Trilobita,Phacopida,Calymenidae,Neseuretus cf. attenuatus,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,83 mm (Neseuretus sp.),
225,Arthropoda,Trilobita,Phacopida,Calymenidae,Pradoella 'tazzarinensis' n.n.,"predator (fortey et owens, 1999)","Vidal PhD, 1996 ; Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,150 mm,
226,Arthropoda,Trilobita,Phacopida,Calymenidae,Pradoella sp.,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,110 - 160 mm ????,
228,Arthropoda,Trilobita,Phacopida,Cheiruridae,Ceraurinella? sp.,"predator (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,26 mm ?,
229,Arthropoda,Trilobita,Phacopida,Homalonotidae,Platycoryphe sp.,"predator (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,26 mm,
233,Arthropoda,Trilobita,Ptychopariida,Bathycheilidae (??),Parabathycheilus gallicus,"deposit feeder (enrolled of same order, Zhu et al., 2013)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","enrolled of same order was deposit feeder (Zhu, 2013)","Parathycheilus gallicus, Bathycheilus gallicus",8-13-21(?) - 35 mm,
237,ECHINODERMATA,Crinoidea,Disparida,Iocrinidae,Iocrinus n. sp.,"Filter/suspension feeder (Guensburg et Sprinkle, 1992) (Brusca)","Lefebvre et al., 2016b",Upper part of the Fezouata Formation,,,,
