Cons._sp.,Resource_sp.
Asaphellus fezouataensis ,Sokkaejaecystis sp. 1
Asaphellus fezouataensis ,Sokkaejaecystis sp. 2
Asaphellus fezouataensis ,"Cornuta n. gen. 1, n. sp."
Asaphellus fezouataensis ,"Cornuta n. gen. 2, n. sp."
Asaphellus fezouataensis ,Flabellicarpus rushtoni
Asaphellus fezouataensis ,Galliaecystis n. sp.
Asaphellus fezouataensis ,Galliaecystis ubaghsi
Asaphellus fezouataensis ,Hanusia n. sp.
Asaphellus fezouataensis ,Lagynocystis pyramidalis
Asaphellus fezouataensis ,Nanocarpus cf. dolambii
Asaphellus fezouataensis ,Phyllocystis blayaci
Asaphellus fezouataensis ,Procothurnocystis n. sp.
Asaphellus fezouataensis ,Prokopicystis sp.
Asaphellus fezouataensis ,Bohemiaecystis n. sp.
