Cons._sp.,Resource_sp.,Certainty level
Bathmoceras australe,Palaeosphaeronites sp.,1
Bathmoceras australe,Palaeosphaeronites? prokopi,1
Bathmoceras australe,Aristocystites cf. bohemicus (sinuous?),1
Bathmoceras australe,Aristocystites sp.,1
Bathmoceras australe,Ascocystites? sp.,1
Bathmoceras australe,Balantiocystis regnelli,1
Bathmoceras australe,Balantiocystis sp.,1
Bathmoceras australe,Rhopalocystis sp.,1
Bathmoceras australe,Rhopalocystis dehirensis,1
Bathmoceras australe,Rhopalocystis destombesi,1
Bathmoceras australe,Rhopalocystis fraga,1
Bathmoceras australe,Rhopalocystis grandis,1
Bathmoceras australe,Rhopalocystis havliceki,1
Bathmoceras australe,Rhopalocystis lehmani,1
Bathmoceras australe,Rhopalocystis zagoraensis,1
Bathmoceras australe,Rhopalocystis sp. A,1
Bathmoceras australe,Rhopalocystis sp. B,1
Bathmoceras australe,Rhopalocystis sp. C,1
Bathmoceras australe,cf. Rhopalocystis,1
Bathmoceras australe,Lingulocystis aff. deani,1
Bathmoceras australe,Lingulocystis elongata,1
Bathmoceras australe,cf. Pareocrinus,1
Bathmoceras australe,Eocrinoidea indet. sp. 1,1
Bathmoceras australe,Eocrinoidea indet. sp. 2,1
Bathmoceras australe,Eocrinoidea indet.,1
Bathmoceras australe,Ramseyocrinus sp.,1
Bathmoceras australe,Crinoid 2,1
Bathmoceras australe,Aethocrinus cf. moorei,1
Bathmoceras australe,Iocrinus n. sp.,1
Bathmoceras australe,Cystoidea?/undet. Cystoidea,1
Bathmoceras australe,Argodiscus espilezorum,1
Bathmoceras australe,Anedriophus moroccoensis,1
Bathmoceras australe,Rhenopyrgid indet.,1
Bathmoceras australe,Ampelocarpus sp.,1
Bathmoceras australe,Amygdalotheca griffei,1
Bathmoceras australe,Anatifopsis escandei,1
Bathmoceras australe,Anatifopsis trapeziiformis,1
Bathmoceras australe,Anatifopsis sp.,1
Bathmoceras australe,"Anomalocystid n. gen., n. sp. ",1
Bathmoceras australe,Aspidocarpus sp.,1
Bathmoceras australe,Arauricystis? sp.,1
