CONSUMER;RESOURCE
Calymene sp.;Pterospathodus sp.
Calymene sp.;Walliserodus curvatus
Calymene sp.;Dapsilodus obliquicostatus
Calymene sp.;Panderodus sp.
Calymene sp.;Oulodus sp.
Calymene sp.;Ozarkodina sp.
Calymene sp.;Decoriconus sp.
Calymene sp.;Pseudooneotodus beckmanni
Diacalymene sp.;detritus
Diacalymene sp.;Aulacognathus bullatus
Diacalymene sp.;Distomodus sp.
Diacalymene sp.;Icriodella sp.
Diacalymene sp.;Pterospathodus sp.
Diacalymene sp.;Walliserodus curvatus
Diacalymene sp.;Dapsilodus obliquicostatus
Diacalymene sp.;Panderodus sp.
Diacalymene sp.;Oulodus sp.
Diacalymene sp.;Ozarkodina sp.
Diacalymene sp.;Decoriconus sp.
Diacalymene sp.;Pseudooneotodus beckmanni
Hadromeros sp.;detritus
Hadromeros sp.;Aechmina sp.
Hadromeros sp.;Paraechmina sp.
Hadromeros sp.;Libumella sp.
Hadromeros sp.;Ulrichia sp.
Hadromeros sp.;Cryptophyllus sp.
Hadromeros sp.;Anticostiella sp.
Hadromeros sp.;Gibberella brickensis
Hadromeros sp.;Herrmannina sp.
Hadromeros sp.;Zygobolba sp.
Hadromeros sp.;Jupiterella jupiterensis
Hadromeros sp.;Apatobolbina sp.
Hadromeros sp.;Cyrtocyprus inornata
Hadromeros sp.;Thrallella sp.
Hadromeros sp.;Bairdiocypris sp.
Hadromeros sp.;Punctobeecherella punctata
Hadromeros sp.;Punctomosea sp.
Hadromeros sp.;Menoeidina lavoiei
Hadromeros sp.;Microcheilinella sp.
Hadromeros sp.;Pachydomella sp.
Hadromeros sp.;Conbathella inornata
Hadromeros sp.;Paraschmidtella irregularis
Radiurus adraini;detritus
Distyrax maccormicki;detritus
Encrinurus sp.;detritus
Encrinurus sp.;Aechmina sp.
Encrinurus sp.;Paraechmina sp.
Encrinurus sp.;Libumella sp.
Encrinurus sp.;Ulrichia sp.
Encrinurus sp.;Cryptophyllus sp.
Encrinurus sp.;Anticostiella sp.
Encrinurus sp.;Gibberella brickensis
Encrinurus sp.;Herrmannina sp.
Encrinurus sp.;Zygobolba sp.
Encrinurus sp.;Jupiterella jupiterensis
Encrinurus sp.;Apatobolbina sp.
Encrinurus sp.;Cyrtocyprus inornata
Encrinurus sp.;Thrallella sp.
Encrinurus sp.;Bairdiocypris sp.
Encrinurus sp.;Punctobeecherella punctata
Encrinurus sp.;Punctomosea sp.
Encrinurus sp.;Menoeidina lavoiei
Encrinurus sp.;Microcheilinella sp.
Encrinurus sp.;Pachydomella sp.
Encrinurus sp.;Conbathella inornata
Encrinurus sp.;Paraschmidtella irregularis
Nucleurus anticostiensis;detritus
Nucleurus anticostiensis;Aechmina sp.
Nucleurus anticostiensis;Paraechmina sp.
Nucleurus anticostiensis;Libumella sp.
Nucleurus anticostiensis;Ulrichia sp.
Nucleurus anticostiensis;Cryptophyllus sp.
Nucleurus anticostiensis;Anticostiella sp.
Nucleurus anticostiensis;Gibberella brickensis
Nucleurus anticostiensis;Herrmannina sp.
Nucleurus anticostiensis;Zygobolba sp.
Nucleurus anticostiensis;Jupiterella jupiterensis
Nucleurus anticostiensis;Apatobolbina sp.
Nucleurus anticostiensis;Cyrtocyprus inornata
Nucleurus anticostiensis;Thrallella sp.
Nucleurus anticostiensis;Bairdiocypris sp.
Nucleurus anticostiensis;Punctobeecherella punctata
Nucleurus anticostiensis;Punctomosea sp.
Nucleurus anticostiensis;Menoeidina lavoiei
Nucleurus anticostiensis;Microcheilinella sp.
Nucleurus anticostiensis;Pachydomella sp.
Nucleurus anticostiensis;Conbathella inornata
Nucleurus anticostiensis;Paraschmidtella irregularis
Decoroproetus sp.;detritus
Warburgella pratti;detritus
Warburgella pratti;Aechmina sp.
Warburgella pratti;Paraechmina sp.
Warburgella pratti;Libumella sp.
Warburgella pratti;Ulrichia sp.
Warburgella pratti;Cryptophyllus sp.
Warburgella pratti;Anticostiella sp.
Warburgella pratti;Gibberella brickensis
Warburgella pratti;Herrmannina sp.
Warburgella pratti;Zygobolba sp.
Warburgella pratti;Jupiterella jupiterensis
Warburgella pratti;Apatobolbina sp.
Warburgella pratti;Cyrtocyprus inornata
Warburgella pratti;Thrallella sp.
Warburgella pratti;Bairdiocypris sp.
Warburgella pratti;Punctobeecherella punctata
Warburgella pratti;Punctomosea sp.
Warburgella pratti;Menoeidina lavoiei
Warburgella pratti;Microcheilinella sp.
Warburgella pratti;Pachydomella sp.
Warburgella pratti;Conbathella inornata
Warburgella pratti;Paraschmidtella irregularis
Warburgella pratti;Aulacognathus bullatus
Warburgella pratti;Distomodus sp.
Warburgella pratti;Icriodella sp.
Warburgella pratti;Pterospathodus sp.
Warburgella pratti;Walliserodus curvatus
Warburgella pratti;Dapsilodus obliquicostatus
Warburgella pratti;Panderodus sp.
Warburgella pratti;Oulodus sp.
Warburgella pratti;Ozarkodina sp.
Warburgella pratti;Decoriconus sp.
Warburgella pratti;Pseudooneotodus beckmanni
Harpidella sp.;detritus
Maurotarion richardsoni;detritus
Maurotarion richardsoni;Aechmina sp.
Maurotarion richardsoni;Paraechmina sp.
Maurotarion richardsoni;Libumella sp.
Maurotarion richardsoni;Ulrichia sp.
Maurotarion richardsoni;Cryptophyllus sp.
Maurotarion richardsoni;Anticostiella sp.
Maurotarion richardsoni;Gibberella brickensis
Maurotarion richardsoni;Herrmannina sp.
Maurotarion richardsoni;Zygobolba sp.
Maurotarion richardsoni;Jupiterella jupiterensis
Maurotarion richardsoni;Apatobolbina sp.
Maurotarion richardsoni;Cyrtocyprus inornata
Maurotarion richardsoni;Thrallella sp.
